iter	Passed	Remaining
0	1089	10897163
1	1946	9729159
2	2690	8967127
3	3456	8637857
4	4213	8423679
5	5014	8352847
6	5817	8305118
7	6531	8157839
8	7219	8014960
9	7965	7958032
10	8747	7943941
11	9473	7885347
12	10187	7826098
13	10917	7787284
14	12225	8138340
15	13609	8492081
16	14504	8517720
17	15306	8488120
18	16099	8457135
19	16908	8437335
20	17666	8394821
21	18433	8360613
22	19265	8356975
23	20220	8405164
24	21240	8474998
25	22227	8526706
26	23162	8555367
27	23999	8547318
28	24771	8516985
29	25583	8502387
30	26413	8494207
31	27252	8489298
32	28090	8484313
33	28937	8482201
34	30195	8597226
35	31039	8591170
36	31768	8554189
37	32526	8527116
38	33273	8498463
39	33988	8463021
40	34745	8439825
41	35456	8406559
42	36202	8382868
43	36975	8366531
44	37701	8340412
45	38483	8327425
46	39181	8297266
47	40009	8295331
48	40711	8267828
49	41419	8242537
50	42232	8238560
51	42935	8213814
52	43657	8193695
53	44447	8186500
54	45201	8173225
55	45966	8162248
56	46750	8155159
57	47596	8158758
58	48323	8142118
59	49060	8127690
60	49781	8111148
61	50538	8100889
62	51252	8084080
63	51989	8071317
64	52772	8066147
65	53486	8050558
66	54276	8046671
67	55015	8035539
68	55729	8021065
69	56498	8014721
70	57282	8010671
71	58088	8009742
72	58895	8008977
73	59870	8030690
74	60646	8025557
75	61500	8030670
76	62306	8029493
77	63172	8035827
78	63959	8032210
79	64663	8018283
80	65438	8013445
81	66199	8006917
82	66884	7991509
83	67652	7986224
84	68409	7979806
85	69147	7971202
86	69843	7958091
87	70590	7951072
88	71358	7946400
89	72054	7933971
90	72838	7931433
91	73526	7918459
92	74334	7918630
93	75111	7915440
94	75872	7910754
95	76657	7908457
96	77362	7898168
97	78071	7888451
98	78822	7883081
99	79641	7884523
100	80417	7881750
101	81224	7882001
102	81968	7876107
103	82707	7869981
104	84523	7965364
105	85445	7975448
106	86275	7976843
107	87065	7974527
108	88043	7989371
109	88928	7995502
110	89711	7992422
111	90676	8005474
112	91517	8007347
113	92354	8008880
114	93352	8024237
115	94288	8034003
116	95645	8079212
117	96330	8067288
118	97055	8058848
119	97767	8049563
120	98480	8040440
121	99136	8026813
122	99787	8012978
123	100483	8003056
124	101164	7991982
125	101885	7984227
126	102616	7977407
127	103333	7969632
128	104116	7966933
129	104779	7955188
130	105408	7941040
131	106166	7936783
132	106901	7930809
133	107606	7922760
134	108306	7914364
135	109011	7906547
136	109719	7898991
137	110415	7890725
138	111132	7884010
139	111775	7872173
140	112488	7865392
141	113220	7860083
142	113909	7851770
143	114593	7843272
144	115350	7839849
145	116059	7833244
146	116789	7828105
147	117525	7823382
148	118194	7814331
149	118890	7807124
150	119543	7797227
151	120208	7788245
152	120906	7781482
153	121583	7773449
154	122254	7765159
155	123008	7762164
156	123755	7758781
157	124421	7750369
158	125147	7745755
159	125843	7739346
160	126594	7736437
161	127267	7728757
162	128004	7725035
163	128694	7718501
164	129404	7713315
165	130111	7707942
166	130791	7701018
167	131425	7691526
168	132147	7687254
169	132899	7684694
170	133638	7681496
171	134402	7679717
172	135153	7677184
173	135842	7671205
174	136526	7665000
175	137204	7658491
176	137860	7650893
177	138594	7647616
178	139289	7642228
179	139974	7636388
180	140696	7632570
181	141383	7626963
182	142086	7622203
183	142804	7618284
184	143476	7612028
185	144167	7606780
186	144931	7605428
187	145690	7603779
188	146428	7601127
189	147161	7598189
190	147870	7594043
191	148521	7586968
192	149173	7580019
193	149812	7572493
194	150526	7568780
195	151226	7564413
196	151877	7557640
197	152585	7553767
198	153280	7549278
199	153983	7545205
200	154610	7537436
201	155262	7531000
202	155965	7527086
203	156687	7524053
204	157413	7521314
205	158101	7516720
206	158839	7514553
207	159509	7509223
208	160210	7505361
209	160925	7502209
210	161569	7495769
211	162325	7494521
212	162956	7487590
213	163885	7494302
214	164721	7496736
215	165401	7492069
216	166802	7519928
217	167687	7524389
218	168791	7538595
219	169790	7547980
220	170909	7562560
221	171683	7561813
222	172484	7562249
223	173315	7563983
224	174161	7566359
225	174968	7566998
226	175712	7564945
227	176430	7561770
228	177303	7565193
229	178130	7566691
230	178847	7563484
231	179637	7563357
232	180423	7563083
233	181289	7566108
234	182146	7568748
235	182966	7569835
236	183705	7567563
237	184411	7563988
238	185155	7561937
239	185914	7560534
240	186621	7556994
241	187289	7551952
242	188053	7550782
243	188752	7546997
244	189434	7542592
245	190108	7537880
246	190796	7533753
247	191486	7529742
248	192212	7527179
249	192983	7526345
250	193718	7524143
251	194403	7520030
252	195252	7522227
253	195927	7517737
254	196674	7516067
255	197459	7515816
256	198239	7515353
257	198925	7511359
258	199735	7512065
259	200389	7506891
260	201080	7503143
261	201773	7499502
262	202452	7495354
263	203192	7493490
264	203932	7491643
265	204652	7489047
266	205425	7488403
267	206146	7485898
268	206894	7484362
269	207570	7480225
270	208270	7476974
271	208968	7473702
272	209652	7469933
273	210361	7467072
274	211192	7468550
275	211877	7464842
276	212632	7463642
277	213282	7458761
278	213980	7455582
279	214629	7450705
280	215332	7447755
281	215983	7442989
282	216665	7439370
283	217382	7436917
284	218019	7431783
285	218709	7428469
286	219425	7426046
287	220155	7424127
288	220891	7422409
289	221610	7420116
290	222360	7418879
291	223047	7415555
292	223800	7414439
293	224528	7412500
294	225206	7408907
295	225979	7408477
296	226698	7406248
297	227356	7402046
298	228123	7401435
299	228826	7398731
300	229525	7395903
301	230222	7393025
302	230949	7391156
303	231635	7387941
304	232380	7386643
305	233137	7385721
306	233884	7384518
307	234605	7382446
308	235347	7381083
309	236091	7379766
310	236883	7379943
311	237587	7377400
312	238299	7375102
313	238924	7370129
314	239650	7368286
315	240298	7364096
316	240981	7360950
317	241766	7360958
318	242422	7357027
319	243090	7353484
320	243864	7353152
321	244577	7351009
322	245342	7350390
323	246032	7347559
324	246779	7346439
325	247484	7344069
326	248217	7342538
327	248971	7341635
328	249734	7340988
329	250478	7339766
330	251191	7337675
331	251933	7336431
332	252711	7336218
333	253385	7333005
334	254067	7330024
335	254811	7328877
336	255570	7328132
337	256300	7326563
338	257095	7326845
339	257816	7325011
340	258512	7322510
341	259189	7319459
342	259887	7317007
343	260606	7315177
344	261296	7312515
345	262049	7311628
346	262843	7311899
347	263529	7309148
348	264291	7308537
349	265025	7307128
350	265739	7305175
351	266506	7304694
352	267243	7303381
353	268007	7302831
354	268759	7301921
355	269488	7300406
356	270219	7298956
357	270976	7298188
358	271715	7296954
359	272549	7298282
360	273234	7295601
361	273947	7293659
362	274626	7290834
363	275360	7289478
364	276073	7287588
365	276794	7285896
366	277450	7282509
367	278140	7280014
368	278833	7277636
369	279550	7275865
370	280310	7275230
371	281040	7273799
372	281739	7271592
373	282532	7271801
374	283205	7268948
375	283960	7268171
376	284743	7268124
377	285427	7265575
378	286174	7264600
379	286851	7261864
380	287569	7260180
381	288303	7258898
382	289040	7257713
383	289734	7255425
384	290441	7253502
385	291157	7251779
386	291877	7250165
387	292574	7248012
388	293332	7247343
389	293991	7244244
390	294676	7241807
391	295501	7242797
392	296257	7242100
393	296979	7240581
394	297691	7238808
395	298506	7239525
396	299172	7236669
397	299875	7234682
398	300679	7235148
399	301413	7233934
400	302162	7233064
401	302959	7233338
402	303751	7233505
403	304468	7231877
404	305313	7233287
405	306065	7232502
406	306782	7230881
407	307520	7229751
408	308318	7230026
409	308947	7226361
410	309671	7224920
411	310399	7223567
412	311113	7221896
413	311836	7220436
414	312523	7218168
415	313255	7216918
416	313990	7215766
417	314644	7212726
418	315375	7211487
419	316053	7209025
420	316722	7206384
421	317402	7203979
422	318276	7205993
423	319011	7204845
424	319803	7204992
425	320463	7202161
426	321223	7201585
427	321972	7200753
428	322646	7198239
429	323368	7196830
430	324058	7194690
431	324793	7193572
432	325480	7191382
433	326157	7188991
434	326884	7187700
435	327635	7186951
436	328346	7185305
437	329012	7182691
438	329713	7180849
439	330471	7180234
440	331198	7178971
441	332094	7181356
442	332867	7181077
443	333586	7179620
444	334266	7177342
445	334989	7175992
446	335687	7174110
447	336375	7172001
448	337082	7170323
449	337866	7170285
450	338594	7169046
451	339328	7167938
452	340107	7167777
453	340845	7166766
454	341507	7164158
455	342157	7161297
456	342832	7158976
457	343557	7157702
458	344267	7156114
459	344903	7153001
460	345605	7151267
461	346342	7150247
462	346972	7147037
463	347658	7144984
464	348415	7144384
465	349233	7145054
466	349923	7143089
467	350711	7143127
468	351483	7142841
469	352186	7141133
470	352931	7140307
471	353650	7138942
472	354418	7138575
473	355183	7138138
474	355904	7136817
475	356689	7136781
476	357346	7134203
477	358005	7131654
478	358751	7130844
479	359476	7129614
480	360215	7128677
481	360922	7127091
482	361629	7125515
483	362266	7122575
484	363028	7122099
485	363768	7121177
486	364568	7121445
487	365330	7120945
488	366022	7119092
489	366724	7117441
490	367417	7115628
491	368087	7113369
492	368828	7112481
493	369529	7110831
494	370239	7109345
495	370995	7108751
496	371648	7106186
497	372384	7105214
498	373111	7104078
499	373880	7103724
500	374547	7101453
501	375267	7100185
502	375923	7097705
503	376668	7096914
504	377358	7095091
505	378205	7096217
506	378973	7095857
507	379684	7094418
508	380383	7092767
509	381090	7091276
510	381742	7088757
511	382499	7088187
512	383412	7090509
513	384156	7089701
514	384895	7088803
515	385677	7088687
516	386379	7087108
517	387143	7086667
518	387954	7087079
519	388698	7086268
520	389407	7084827
521	390121	7083471
522	390834	7082094
523	391520	7080246
524	392250	7079188
525	392952	7077634
526	393635	7075737
527	394410	7075482
528	395093	7073585
529	395737	7071007
530	396444	7069551
531	397239	7069674
532	397980	7068815
533	398725	7068036
534	399429	7066544
535	400143	7065223
536	400835	7063504
537	401554	7062291
538	402215	7060030
539	402930	7058748
540	403668	7057863
541	404419	7057196
542	405107	7055429
543	405793	7053643
544	406498	7052188
545	407200	7050691
546	407916	7049428
547	408652	7048511
548	409374	7047351
549	410036	7045165
550	410765	7044140
551	411492	7043076
552	412224	7042108
553	412931	7040708
554	413679	7040004
555	414335	7037746
556	415077	7036945
557	415792	7035687
558	416546	7035083
559	417247	7033597
560	417942	7032010
561	418753	7032369
562	419564	7032741
563	420223	7030543
564	420960	7029664
565	421678	7028467
566	422447	7028126
567	423109	7025994
568	423883	7025746
569	424508	7023015
570	425212	7021588
571	426013	7021774
572	426714	7020306
573	427436	7019186
574	428179	7018423
575	428964	7018329
576	429671	7016978
577	430404	7016045
578	431096	7014445
579	431827	7013477
580	432536	7012156
581	433317	7011994
582	434060	7011228
583	434816	7010663
584	435537	7009543
585	436310	7009262
586	437017	7007907
587	437724	7006564
588	438462	7005721
589	439215	7005114
590	439942	7004096
591	440642	7002649
592	441381	7001814
593	442131	7001163
594	442885	7000572
595	443578	6999015
596	444253	6997178
597	444974	6996064
598	445686	6994827
599	446403	6993651
600	447131	6992661
601	447808	6990872
602	448643	6991550
603	449393	6990889
604	450152	6990384
605	450891	6989557
606	451606	6988364
607	452346	6987558
608	453074	6986572
609	453809	6985694
610	454469	6983656
611	455230	6983182
612	455968	6982343
613	456682	6981141
614	457412	6980190
615	458118	6978865
